PUBLICATION_DATE,TAXA_ID,ASSEMBLAGE_NAME,CLASS,FAMILY,FFG,GENUS,HABIT,NON_TARGET,ORDER,PHYLUM,PTV,SUBFAMILY,TARGET_TAXON,TRIBE
10/27/2015,1,INVERTEBRATES,GASTROPODA,ANCYLIDAE,SC,,CB,,BASOMMATOPHORA,MOLLUSCA,5.8,,ANCYLIDAE,
10/27/2015,2,INVERTEBRATES,ARACHNIDA,,PR,,,,,ARTHROPODA,8,,ARACHNIDA,
10/27/2015,3,INVERTEBRATES,INSECTA,COENAGRIONIDAE,PR,ARGIA,CB,,ODONATA,ARTHROPODA,7.1,,ARGIA,
10/27/2015,4,INVERTEBRATES,INSECTA,CERATOPOGONIDAE,"PR,CG",BEZZIA/PALPOMYIA,"SP,BU,PK",,DIPTERA,ARTHROPODA,6,CERATOPOGONINAE,BEZZIA/PALPOMYIA,
10/27/2015,5,INVERTEBRATES,INSECTA,CAENIDAE,CG,CAENIS,SP,,EPHEMEROPTERA,ARTHROPODA,6,,CAENIS,
10/27/2015,6,INVERTEBRATES,INSECTA,LEPTOCERIDAE,CG,CERACLEA,CN,,TRICHOPTERA,ARTHROPODA,3.6,LEPTOCERINAE,CERACLEA,ATHRIPSODINI
10/27/2015,7,INVERTEBRATES,INSECTA,CHIRONOMIDAE,CG,,,,DIPTERA,ARTHROPODA,6,CHIRONOMINAE,CHIRONOMINI,CHIRONOMINI
10/27/2015,8,INVERTEBRATES,INSECTA,CHIRONOMIDAE,"CF,CG",CLADOTANYTARSUS,CB,,DIPTERA,ARTHROPODA,6,CHIRONOMINAE,CLADOTANYTARSUS,TANYTARSINI
10/27/2015,9,INVERTEBRATES,BIVALVIA,CORBICULIDAE,CF,CORBICULA,BU,,VENEROIDA,MOLLUSCA,5.5,,CORBICULA,
10/27/2015,10,INVERTEBRATES,INSECTA,CHIRONOMIDAE,"SH, CG",CRICOTOPUS,,,DIPTERA,ARTHROPODA,7,ORTHOCLADIINAE,CRICOTOPUS,ORTHOCLADIINI/METRIOCNEMINI
10/27/2015,11,INVERTEBRATES,INSECTA,CHIRONOMIDAE,PR,CRYPTOCHIRONOMUS,SP,,DIPTERA,ARTHROPODA,7,CHIRONOMINAE,CRYPTOCHIRONOMUS,CHIRONOMINI
10/27/2015,12,INVERTEBRATES,INSECTA,CERATOPOGONIDAE,CG,DASYHELEA,SP,,DIPTERA,ARTHROPODA,5.7,DASYHELEINAE,DASYHELEA,
10/27/2015,13,INVERTEBRATES,INSECTA,CHIRONOMIDAE,CG,DICROTENDIPES,BU,,DIPTERA,ARTHROPODA,6.7,CHIRONOMINAE,DICROTENDIPES,CHIRONOMINI
10/27/2015,14,INVERTEBRATES,INSECTA,CHIRONOMIDAE,SH,ENDOCHIRONOMUS,CN,,DIPTERA,ARTHROPODA,8,CHIRONOMINAE,ENDOCHIRONOMUS,CHIRONOMINI
10/27/2015,15,INVERTEBRATES,CLITELLATA,ERPOBDELLIDAE,PR,ERPOBDELLA,SP,,ARHYNCHOBDELLIDA,ANNELIDA,8,ERPOBDELLINAE,ERPOBDELLA,
10/27/2015,16,INVERTEBRATES,INSECTA,CHIRONOMIDAE,"CF,SH",GLYPTOTENDIPES,BU,,DIPTERA,ARTHROPODA,9.5,CHIRONOMINAE,GLYPTOTENDIPES,CHIRONOMINI
10/27/2015,17,INVERTEBRATES,CLITELLATA,GLOSSIPHONIIDAE,PR,HELOBDELLA,SP,,RHYNCHOBDELLIDA,ANNELIDA,8.4,HAEMENTERIINAE,HELOBDELLA,
10/27/2015,18,INVERTEBRATES,MALACOSTRACA,HYALELLIDAE,"CG,SH",HYALELLA,SP,,AMPHIPODA,ARTHROPODA,7.5,,HYALELLA,
10/27/2015,19,INVERTEBRATES,INSECTA,HYDROPTILIDAE,"PI,PR,SC",HYDROPTILA,CN,,TRICHOPTERA,ARTHROPODA,2.6,HYDROPTILINAE,HYDROPTILA,HYDROPTILINI
10/27/2015,20,INVERTEBRATES,INSECTA,HYDROPTILIDAE,PI,,CB,,TRICHOPTERA,ARTHROPODA,3.8,,HYDROPTILIDAE,
10/27/2015,21,INVERTEBRATES,ARACHNIDA,LEBERTIIDAE,PR,LEBERTIA,CB,,TROMBIDIFORMES,ARTHROPODA,8,,LEBERTIA,
10/27/2015,22,INVERTEBRATES,CLITELLATA,TUBIFICIDAE,CG,LIMNODRILUS,CN,,HAPLOTAXIDA,ANNELIDA,9,,LIMNODRILUS,
10/27/2015,23,INVERTEBRATES,INSECTA,TIPULIDAE,SH,LIMONIA,BU,,DIPTERA,ARTHROPODA,4,LIMONIINAE,LIMONIA,
10/27/2015,24,INVERTEBRATES,GASTROPODA,PLANORBIDAE,,MICROMENETUS,,,BASOMMATOPHORA,MOLLUSCA,,,MICROMENETUS,
10/27/2015,25,INVERTEBRATES,CLITELLATA,NAIDIDAE,CG,NAIS,BU,,HAPLOTAXIDA,ANNELIDA,8.6,,NAIS,
10/27/2015,27,INVERTEBRATES,INSECTA,CHIRONOMIDAE,"SH, CG",ORTHOCLADIUS,,,DIPTERA,ARTHROPODA,7,ORTHOCLADIINAE,ORTHOCLADIUS,
10/27/2015,28,INVERTEBRATES,INSECTA,HYDROPTILIDAE,"PI,PR,SC",ORTHOTRICHIA,CN,,TRICHOPTERA,ARTHROPODA,4,HYDROPTILINAE,ORTHOTRICHIA,ORTHOTRICHIINI
10/27/2015,29,INVERTEBRATES,INSECTA,CHIRONOMIDAE,CG,PARATANYTARSUS,CN,,DIPTERA,ARTHROPODA,7,CHIRONOMINAE,PARATANYTARSUS,TANYTARSINI
10/27/2015,30,INVERTEBRATES,INSECTA,CHIRONOMIDAE,"CG,SC",PHAENOPSECTRA,CN,,DIPTERA,ARTHROPODA,7,CHIRONOMINAE,PHAENOPSECTRA,CHIRONOMINI
10/27/2015,32,INVERTEBRATES,GASTROPODA,PLEUROCERIDAE,SC,PLEUROCERA,CB,,NEOTAENIOGLOSSA,MOLLUSCA,5,,PLEUROCERA,
10/27/2015,33,INVERTEBRATES,GASTROPODA,PLEUROCERIDAE,SC,,CB,,NEOTAENIOGLOSSA,MOLLUSCA,5,,PLEUROCERIDAE,
10/27/2015,34,INVERTEBRATES,INSECTA,CHIRONOMIDAE,SH,POLYPEDILUM,"CB,CN",,DIPTERA,ARTHROPODA,5.5,CHIRONOMINAE,POLYPEDILUM,CHIRONOMINI
10/27/2015,35,INVERTEBRATES,ENOPLA,TETRASTEMMATIDAE,PR,PROSTOMA,CN,,HOPLONEMERTEA,NEMERTEA,6.3,,PROSTOMA,
10/27/2015,36,INVERTEBRATES,INSECTA,CHIRONOMIDAE,CG,PSEUDOCHIRONOMUS,BU,,DIPTERA,ARTHROPODA,4,CHIRONOMINAE,PSEUDOCHIRONOMUS,PSEUDOCHIRONOMINI
10/27/2015,37,INVERTEBRATES,INSECTA,CHIRONOMIDAE,CF,TANYTARSUS,CN,,DIPTERA,ARTHROPODA,2.2,CHIRONOMINAE,TANYTARSUS,TANYTARSINI
10/27/2015,39,INVERTEBRATES,TURBELLARIA,,PR,,SP,,,PLATYHELMINTHES,4.7,,TURBELLARIA,
10/27/2015,40,INVERTEBRATES,INSECTA,CHIRONOMIDAE,PR,ABLABESMYIA,SP,,DIPTERA,ARTHROPODA,5.6,TANYPODINAE,ABLABESMYIA,PENTANEURINI
10/27/2015,41,INVERTEBRATES,INSECTA,NAUCORIDAE,PR,AMBRYSUS,CB,,HEMIPTERA,ARTHROPODA,5,AMBRYSINAE,AMBRYSUS,
10/27/2015,42,INVERTEBRATES,MALACOSTRACA,ASELLIDAE,CG,CAECIDOTEA,SP,,ISOPODA,ARTHROPODA,8,,CAECIDOTEA,
10/27/2015,43,INVERTEBRATES,INSECTA,COENAGRIONIDAE,PR,,CB,,ODONATA,ARTHROPODA,7.9,,COENAGRIONIDAE,
10/27/2015,44,INVERTEBRATES,CLITELLATA,NAIDIDAE,CG,DERO,BU,,HAPLOTAXIDA,ANNELIDA,8,,DERO,
10/27/2015,45,INVERTEBRATES,INSECTA,PSEPHENIDAE,SC,ECTOPRIA,CN,,COLEOPTERA,ARTHROPODA,3.9,EUBRIINAE,ECTOPRIA,
10/27/2015,46,INVERTEBRATES,INSECTA,GOMPHIDAE,PR,,BU,,ODONATA,ARTHROPODA,,,GOMPHIDAE,
10/27/2015,47,INVERTEBRATES,INSECTA,HEPTAGENIIDAE,SC,,CN,,EPHEMEROPTERA,ARTHROPODA,4.1,,HEPTAGENIIDAE,
10/27/2015,48,INVERTEBRATES,MALACOSTRACA,MYSIDAE,,,,,MYSIDA,ARTHROPODA,,,MYSIDAE,
10/27/2015,49,INVERTEBRATES,INSECTA,LEPTOCERIDAE,CG,MYSTACIDES,SP,,TRICHOPTERA,ARTHROPODA,3.4,LEPTOCERINAE,MYSTACIDES,MYSTACIDINI
10/27/2015,50,INVERTEBRATES,INSECTA,CHIRONOMIDAE,CG,NANOCLADIUS,SP,,DIPTERA,ARTHROPODA,4.1,ORTHOCLADIINAE,NANOCLADIUS,
10/27/2015,51,INVERTEBRATES,INSECTA,CHIRONOMIDAE,PR,PARACHIRONOMUS,SP,,DIPTERA,ARTHROPODA,5.9,CHIRONOMINAE,PARACHIRONOMUS,CHIRONOMINI
10/27/2015,52,INVERTEBRATES,INSECTA,CHIRONOMIDAE,PR,,,,DIPTERA,ARTHROPODA,6,TANYPODINAE,PENTANEURINI,PENTANEURINI
10/27/2015,53,INVERTEBRATES,INSECTA,NEPIDAE,PR,RANATRA,CN,,HEMIPTERA,ARTHROPODA,7,RANATRINAE,RANATRA,
10/27/2015,54,INVERTEBRATES,INSECTA,CHIRONOMIDAE,"CG,SH",STENOCHIRONOMUS,BU,,DIPTERA,ARTHROPODA,4.6,CHIRONOMINAE,STENOCHIRONOMUS,CHIRONOMINI
10/27/2015,55,INVERTEBRATES,INSECTA,CHIRONOMIDAE,CG,THIENEMANNIELLA,SP,,DIPTERA,ARTHROPODA,4.4,ORTHOCLADIINAE,THIENEMANNIELLA,
10/27/2015,56,INVERTEBRATES,ARACHNIDA,ATURIDAE,PR,ALBIA,,,TROMBIDIFORMES,ARTHROPODA,,,ALBIA,
10/27/2015,57,INVERTEBRATES,ARACHNIDA,ARRENURIDAE,PR,ARRENURUS,CB,,TROMBIDIFORMES,ARTHROPODA,8,,ARRENURUS,
10/27/2015,58,INVERTEBRATES,INSECTA,BAETIDAE,CG,CALLIBAETIS,BU,,EPHEMEROPTERA,ARTHROPODA,4,,CALLIBAETIS,
10/27/2015,59,INVERTEBRATES,INSECTA,CHIRONOMIDAE,PR,CLINOTANYPUS,BU,,DIPTERA,ARTHROPODA,6.3,TANYPODINAE,CLINOTANYPUS,COELOTANYPODINI
10/27/2015,60,INVERTEBRATES,INSECTA,CHIRONOMIDAE,CG,CRYPTOTENDIPES,BU,,DIPTERA,ARTHROPODA,8,CHIRONOMINAE,CRYPTOTENDIPES,CHIRONOMINI
10/27/2015,61,INVERTEBRATES,INSECTA,ELMIDAE,"CG,SC",DUBIRAPHIA,CN,,COLEOPTERA,ARTHROPODA,4.8,,DUBIRAPHIA,
10/27/2015,62,INVERTEBRATES,INSECTA,COENAGRIONIDAE,PR,ENALLAGMA,CB,,ODONATA,ARTHROPODA,7.5,,ENALLAGMA,
10/27/2015,63,INVERTEBRATES,ARACHNIDA,PIONIDAE,PR,FORELIA,SW,,TROMBIDIFORMES,ARTHROPODA,8,,FORELIA,
10/27/2015,64,INVERTEBRATES,GASTROPODA,PLANORBIDAE,SC,GYRAULUS,CB,,BASOMMATOPHORA,MOLLUSCA,7,,GYRAULUS,
10/27/2015,65,INVERTEBRATES,CLITELLATA,,,,,,HIRUDINIDA,ANNELIDA,,,HIRUDINIDA,
10/27/2015,82,INVERTEBRATES,INSECTA,LEPTOCERIDAE,PR,OECETIS,"CN,SP",,TRICHOPTERA,ARTHROPODA,5.6,LEPTOCERINAE,OECETIS,OECETINI
10/27/2015,88,INVERTEBRATES,GASTROPODA,PHYSIDAE,SC,PHYSA,CB,,BASOMMATOPHORA,MOLLUSCA,8,PHYSINAE,PHYSA,
10/27/2015,91,INVERTEBRATES,CLITELLATA,NAIDIDAE,CG,PRISTINA,BU,,HAPLOTAXIDA,ANNELIDA,9.9,,PRISTINA,
10/27/2015,92,INVERTEBRATES,INSECTA,CHIRONOMIDAE,PR,PROCLADIUS,SP,,DIPTERA,ARTHROPODA,9,TANYPODINAE,PROCLADIUS,PROCLADIINI
10/27/2015,93,INVERTEBRATES,CLITELLATA,NAIDIDAE,CG,SLAVINA,,,HAPLOTAXIDA,ANNELIDA,6.7,,SLAVINA,
10/27/2015,94,INVERTEBRATES,INSECTA,CHIRONOMIDAE,CF,,,,DIPTERA,ARTHROPODA,6,CHIRONOMINAE,TANYTARSINI,TANYTARSINI
10/27/2015,95,INVERTEBRATES,INSECTA,CHIRONOMIDAE,CG,ZAVRELIELLA,BU,,DIPTERA,ARTHROPODA,4.7,CHIRONOMINAE,ZAVRELIELLA,TANYTARSINI
10/27/2015,96,INVERTEBRATES,INSECTA,CERATOPOGONIDAE,"CG,PR",ATRICHOPOGON,CN,,DIPTERA,ARTHROPODA,6,FORCIPOMYIINAE,ATRICHOPOGON,
10/27/2015,97,INVERTEBRATES,INSECTA,CERATOPOGONIDAE,PR,,SP,,DIPTERA,ARTHROPODA,6,,CERATOPOGONIDAE,
10/27/2015,98,INVERTEBRATES,INSECTA,CORDULIIDAE,PR,,CB,,ODONATA,ARTHROPODA,3.9,,CORDULIIDAE,
10/27/2015,99,INVERTEBRATES,GASTROPODA,HYDROBIIDAE,SC,,CB,,NEOTAENIOGLOSSA,MOLLUSCA,5.3,NYMPHOPHILINAE,HYDROBIIDAE,
10/27/2015,100,INVERTEBRATES,INSECTA,CHIRONOMIDAE,PR,LABRUNDINIA,SP,,DIPTERA,ARTHROPODA,5.3,TANYPODINAE,LABRUNDINIA,PENTANEURINI
10/27/2015,101,INVERTEBRATES,INSECTA,ELMIDAE,"CG,SC",MACRONYCHUS,CN,,COLEOPTERA,ARTHROPODA,4.5,,MACRONYCHUS,
10/27/2015,102,INVERTEBRATES,ARACHNIDA,UNIONICOLIDAE,PR,NEUMANIA,SW,,TROMBIDIFORMES,ARTHROPODA,8,,NEUMANIA,
10/27/2015,103,INVERTEBRATES,INSECTA,CHIRONOMIDAE,CG,PARACLADOPELMA,SP,,DIPTERA,ARTHROPODA,4.2,CHIRONOMINAE,PARACLADOPELMA,CHIRONOMINI
10/27/2015,104,INVERTEBRATES,GASTROPODA,PLANORBIDAE,SC,,CB,,BASOMMATOPHORA,MOLLUSCA,6.9,,PLANORBIDAE,
10/27/2015,105,INVERTEBRATES,INSECTA,SCIRTIDAE,SC,,CB,,COLEOPTERA,ARTHROPODA,4.5,,SCIRTIDAE,
10/27/2015,106,INVERTEBRATES,BIVALVIA,SPHAERIIDAE,,,,,VENEROIDA,MOLLUSCA,,,SPHAERIIDAE,
10/27/2015,107,INVERTEBRATES,CLITELLATA,NAIDIDAE,CG,STYLARIA,SW,,HAPLOTAXIDA,ANNELIDA,7,,STYLARIA,
10/27/2015,108,INVERTEBRATES,MALACOSTRACA,MYSIDAE,,TAPHROMYSIS,,,MYSIDA,ARTHROPODA,,,TAPHROMYSIS,
10/27/2015,109,INVERTEBRATES,CLITELLATA,NAIDIDAE,CG,BRATISLAVIA,CN,,HAPLOTAXIDA,ANNELIDA,,,BRATISLAVIA,
10/27/2015,110,INVERTEBRATES,INSECTA,CORDULIIDAE,"CF,CG,PR",EPITHECA,CB,,ODONATA,ARTHROPODA,4,CODULIINAE,EPITHECA,
10/27/2015,111,INVERTEBRATES,INSECTA,NOTERIDAE,PR,HYDROCANTHUS,CB,,COLEOPTERA,ARTHROPODA,7,NOTERINAE,HYDROCANTHUS,
10/27/2015,112,INVERTEBRATES,INSECTA,COENAGRIONIDAE,PR,ISCHNURA,CB,,ODONATA,ARTHROPODA,9,,ISCHNURA,
10/27/2015,113,INVERTEBRATES,INSECTA,,SH,,,,LEPIDOPTERA,ARTHROPODA,6.7,,LEPIDOPTERA,
10/27/2015,114,INVERTEBRATES,INSECTA,LEPTOCERIDAE,CG,,CB,,TRICHOPTERA,ARTHROPODA,3.4,,LEPTOCERIDAE,
10/27/2015,115,INVERTEBRATES,INSECTA,DYTISCIDAE,PR,LIODESSUS,SW,,COLEOPTERA,ARTHROPODA,,HYDROPORINAE,LIODESSUS,
10/27/2015,116,INVERTEBRATES,CLITELLATA,LUMBRICULIDAE,CG,,BU,,LUMBRICULIDA,ANNELIDA,8.3,,LUMBRICULIDAE,
10/27/2015,117,INVERTEBRATES,GASTROPODA,LYMNAEIDAE,SC,,CB,,BASOMMATOPHORA,MOLLUSCA,6.1,,LYMNAEIDAE,
10/27/2015,118,INVERTEBRATES,INSECTA,PLEIDAE,PR,NEOPLEA,SW,,HEMIPTERA,ARTHROPODA,,,NEOPLEA,
10/27/2015,119,INVERTEBRATES,INSECTA,HALIPLIDAE,"PI,SH",PELTODYTES,"CB,CN",,COLEOPTERA,ARTHROPODA,5,,PELTODYTES,
10/27/2015,120,INVERTEBRATES,INSECTA,LIBELLULIDAE,PR,PERITHEMIS,SP,,ODONATA,ARTHROPODA,9.6,,PERITHEMIS,
10/27/2015,121,INVERTEBRATES,ARACHNIDA,PIONIDAE,PR,,CB,,TROMBIDIFORMES,ARTHROPODA,8,,PIONIDAE,
10/27/2015,122,INVERTEBRATES,CLITELLATA,NAIDIDAE,,ALLONAIS,,,HAPLOTAXIDA,ANNELIDA,,,ALLONAIS,
10/27/2015,123,INVERTEBRATES,HYDROZOA,HYDRIDAE,,HYDRA,,,ANTHOATHECATAE,CNIDARIA,,,HYDRA,
10/27/2015,124,INVERTEBRATES,INSECTA,HYDROPHILIDAE,PR,,SW,,COLEOPTERA,ARTHROPODA,5.1,,HYDROPHILIDAE,
10/27/2015,125,INVERTEBRATES,INSECTA,LIBELLULIDAE/CORDULIIDAE,,,,,ODONATA,ARTHROPODA,,,LIBELLULIDAE/CORDULIIDAE,
10/27/2015,126,INVERTEBRATES,INSECTA,CHIRONOMIDAE,CG,PARAKIEFFERIELLA,SP,,DIPTERA,ARTHROPODA,2,ORTHOCLADIINAE,PARAKIEFFERIELLA,
10/27/2015,127,INVERTEBRATES,INSECTA,NOTERIDAE,PR,SUPHISELLUS,CB,,COLEOPTERA,ARTHROPODA,,NOTERINAE,SUPHISELLUS,
10/27/2015,128,INVERTEBRATES,INSECTA,BELOSTOMATIDAE,PR,,CB,,HEMIPTERA,ARTHROPODA,5,,BELOSTOMATIDAE,
10/27/2015,129,INVERTEBRATES,INSECTA,CERATOPOGONIDAE,"PR,CG",,"SP,BU,PK",,DIPTERA,ARTHROPODA,6,CERATOPOGONINAE,CERATOPOGONINAE,
10/27/2015,130,INVERTEBRATES,INSECTA,TABANIDAE,,CHLOROTABANUS,,,DIPTERA,ARTHROPODA,,,CHLOROTABANUS,
10/27/2015,131,INVERTEBRATES,INSECTA,TABANIDAE,PR,CHRYSOPS,SP,,DIPTERA,ARTHROPODA,8,CHRYSOPSINAE,CHRYSOPS,CHRYSOPSINI
10/27/2015,132,INVERTEBRATES,INSECTA,HYDROPHILIDAE,CG,HELOCHARES,,,COLEOPTERA,ARTHROPODA,4,HYDROPHILINAE,HELOCHARES,HYDROPHILINI
10/27/2015,133,INVERTEBRATES,INSECTA,HYDROCHIDAE,SH,HYDROCHUS,"CB,SW",,COLEOPTERA,ARTHROPODA,6,,HYDROCHUS,
10/27/2015,134,INVERTEBRATES,INSECTA,DYTISCIDAE,PR,,,,COLEOPTERA,ARTHROPODA,,HYDROPORINAE,HYDROPORINAE,
10/27/2015,135,INVERTEBRATES,ARACHNIDA,UNIONICOLIDAE,PR,KOENIKEA,CB,,TROMBIDIFORMES,ARTHROPODA,8,,KOENIKEA,
10/27/2015,136,INVERTEBRATES,INSECTA,LIBELLULIDAE,PR,LIBELLULA,SP,,ODONATA,ARTHROPODA,8.5,,LIBELLULA,
10/27/2015,137,INVERTEBRATES,INSECTA,LIBELLULIDAE,PR,,SP,,ODONATA,ARTHROPODA,8.2,,LIBELLULIDAE,
10/27/2015,138,INVERTEBRATES,ARACHNIDA,OXIDAE,PR,OXUS,CB,,TROMBIDIFORMES,ARTHROPODA,8,,OXUS,
10/27/2015,139,INVERTEBRATES,INSECTA,CHIRONOMIDAE,CG,PARATENDIPES,BU,,DIPTERA,ARTHROPODA,5.4,CHIRONOMINAE,PARATENDIPES,CHIRONOMINI
10/27/2015,140,INVERTEBRATES,INSECTA,HYDROPHILIDAE,"CG,PR",TROPISTERNUS,CB,,COLEOPTERA,ARTHROPODA,6.5,HYDROPHILINAE,TROPISTERNUS,HYDROPHILINI
10/27/2015,141,INVERTEBRATES,INSECTA,ELMIDAE,"CG,SC",ANCYRONYX,CN,,COLEOPTERA,ARTHROPODA,4.2,,ANCYRONYX,
10/27/2015,142,INVERTEBRATES,INSECTA,HYDROPHILIDAE,"CG,PI",BEROSUS,SW,,COLEOPTERA,ARTHROPODA,5,HYDROPHILINAE,BEROSUS,BEROSINI
10/27/2015,143,INVERTEBRATES,INSECTA,DYTISCIDAE,PR,CELINA,SW,,COLEOPTERA,ARTHROPODA,,HYDROPORINAE,CELINA,
10/27/2015,144,INVERTEBRATES,INSECTA,POLYCENTROPODIDAE,,CERNOTINA,,,TRICHOPTERA,ARTHROPODA,,,CERNOTINA,
10/27/2015,145,INVERTEBRATES,INSECTA,CHIRONOMIDAE,CG,CHIRONOMUS,BU,,DIPTERA,ARTHROPODA,9.5,CHIRONOMINAE,CHIRONOMUS,CHIRONOMINI
10/27/2015,146,INVERTEBRATES,INSECTA,CHIRONOMIDAE,CG,CLADOPELMA,BU,,DIPTERA,ARTHROPODA,5,CHIRONOMINAE,CLADOPELMA,CHIRONOMINI
10/27/2015,147,INVERTEBRATES,INSECTA,CRAMBIDAE,SH,,BU,,LEPIDOPTERA,ARTHROPODA,,,CRAMBIDAE,
10/27/2015,148,INVERTEBRATES,MALACOSTRACA,CRANGONYCTIDAE,CG,CRANGONYX,SP,,AMPHIPODA,ARTHROPODA,7,,CRANGONYX,
10/27/2015,149,INVERTEBRATES,INSECTA,LIBELLULIDAE,PR,ERYTHEMIS,"CB,SP",,ODONATA,ARTHROPODA,9.4,,ERYTHEMIS,
10/27/2015,150,INVERTEBRATES,ARACHNIDA,OXIDAE,PR,FRONTIPODA,,,TROMBIDIFORMES,ARTHROPODA,,,FRONTIPODA,
10/27/2015,151,INVERTEBRATES,INSECTA,HALIPLIDAE,"PI,SH",HALIPLUS,CB,,COLEOPTERA,ARTHROPODA,6.5,,HALIPLUS,
10/27/2015,152,INVERTEBRATES,ARACHNIDA,HYDRODROMIDAE,PR,HYDRODROMA,SW,,TROMBIDIFORMES,ARTHROPODA,8,,HYDRODROMA,
10/27/2015,153,INVERTEBRATES,INSECTA,CHIRONOMIDAE,CG,KIEFFERULUS,,,DIPTERA,ARTHROPODA,10,CHIRONOMINAE,KIEFFERULUS,CHIRONOMINI
10/27/2015,154,INVERTEBRATES,GASTROPODA,ANCYLIDAE,SC,LAEVAPEX,CB,,BASOMMATOPHORA,MOLLUSCA,6,,LAEVAPEX,
10/27/2015,155,INVERTEBRATES,INSECTA,CHIRONOMIDAE,PR,LARSIA,SP,,DIPTERA,ARTHROPODA,4.5,TANYPODINAE,LARSIA,PENTANEURINI
10/27/2015,156,INVERTEBRATES,INSECTA,CHIRONOMIDAE,CG,LAUTERBORNIELLA,CN,,DIPTERA,ARTHROPODA,4.8,CHIRONOMINAE,LAUTERBORNIELLA,CHIRONOMINI
10/27/2015,157,INVERTEBRATES,ARACHNIDA,LIMNESIIDAE,PR,LIMNESIA,SW,,TROMBIDIFORMES,ARTHROPODA,8,,LIMNESIA,
10/27/2015,158,INVERTEBRATES,INSECTA,CORDULIIDAE,PR,MACROMIA,SP,,ODONATA,ARTHROPODA,3.5,MACROMIINAE,MACROMIA,
10/27/2015,159,INVERTEBRATES,INSECTA,CHIRONOMIDAE,CF,MICROTENDIPES,CN,,DIPTERA,ARTHROPODA,6,CHIRONOMINAE,MICROTENDIPES,CHIRONOMINI
10/27/2015,160,INVERTEBRATES,INSECTA,CHIRONOMIDAE,,NILOTHAUMA,,,DIPTERA,ARTHROPODA,2,CHIRONOMINAE,NILOTHAUMA,CHIRONOMINI
10/27/2015,161,INVERTEBRATES,INSECTA,HYDROPTILIDAE,CG,OXYETHIRA,"CB,CN",,TRICHOPTERA,ARTHROPODA,6,HYDROPTILINAE,OXYETHIRA,HYDROPTILINI
10/27/2015,162,INVERTEBRATES,MALACOSTRACA,PALAEMONIDAE,CG,PALAEMONETES,SP,,DECAPODA,ARTHROPODA,5.1,PALAEMONINAE,PALAEMONETES,
10/27/2015,163,INVERTEBRATES,INSECTA,CRAMBIDAE,SH,PARAPOYNX,CB,,LEPIDOPTERA,ARTHROPODA,5,NYMPHULINAE,PARAPOYNX,NYMPHULINI
10/27/2015,164,INVERTEBRATES,BIVALVIA,PISIDIIDAE,CF,PISIDIUM,BU,,VENEROIDA,MOLLUSCA,8,PISIDIINAE,PISIDIUM,
